City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Nara,JP,2021-08-26 22:24:41,34.6851,135.8049,79.92,83,100,2.64,overcast clouds
122,Manokwari,ID,2021-08-26 22:24:41,-0.8667,134.0833,78.91,77,43,6.8,scattered clouds
123,Alyangula,AU,2021-08-26 22:24:41,-13.8483,136.4192,60.67,82,24,3.44,few clouds
124,Narsaq,GL,2021-08-26 22:24:42,60.9167,-46.05,53.82,71,22,3.67,few clouds
125,Mogadishu,SO,2021-08-26 22:24:42,2.0371,45.3438,76.73,81,9,16.02,clear sky
126,Saint-Pierre,RE,2021-08-26 22:24:43,-21.3393,55.4781,67.68,68,75,12.66,broken clouds
127,Saint-Joseph,RE,2021-08-26 22:24:43,-21.3667,55.6167,66.58,77,25,12.15,scattered clouds
128,Dunedin,NZ,2021-08-26 22:24:43,-45.8742,170.5036,46.8,85,100,8.14,overcast clouds
129,Beloha,MG,2021-08-26 22:24:44,-25.1667,45.05,65.82,94,43,8.88,scattered clouds
130,Niono,ML,2021-08-26 22:24:44,14.2526,-5.993,83.7,64,91,10.47,overcast clouds
131,Kalmunai,LK,2021-08-26 22:24:45,7.4167,81.8167,79.9,79,100,4.27,overcast clouds
132,Bestobe,KZ,2021-08-26 22:24:45,52.4994,73.0975,67.35,54,15,6.64,few clouds
133,Loreto,MX,2021-08-26 22:24:46,22.2667,-101.9667,76.12,35,15,20.58,few clouds
134,Johnstown,US,2021-08-26 22:24:46,40.3267,-78.922,89.42,83,90,8.05,fog
135,Vuktyl,RU,2021-08-26 22:24:46,63.8567,57.3094,44.22,92,89,7.0,overcast clouds
136,Kodiak,US,2021-08-26 22:24:47,57.79,-152.4072,56.71,77,90,5.75,overcast clouds
137,Salta,AR,2021-08-26 22:24:47,-24.7859,-65.4117,61.39,21,0,1.99,clear sky
138,Pisco,PE,2021-08-26 22:24:48,-13.7,-76.2167,65.01,72,0,20.71,clear sky
139,Bambanglipuro,ID,2021-08-26 22:24:48,-7.95,110.2833,72.97,81,37,3.8,scattered clouds
140,Devils Lake,US,2021-08-26 22:24:49,48.1128,-98.8651,64.94,71,90,13.0,overcast clouds
141,Shieli,KZ,2021-08-26 22:24:49,44.1667,66.75,75.18,28,7,4.14,clear sky
142,The Valley,AI,2021-08-26 22:24:49,18.217,-63.0578,84.34,70,20,13.8,few clouds
143,Rocha,UY,2021-08-26 22:22:26,-34.4833,-54.3333,50.49,70,1,7.27,clear sky
144,Kovdor,RU,2021-08-26 22:24:50,67.5662,30.4758,42.73,80,68,4.63,broken clouds
145,Port Lincoln,AU,2021-08-26 22:24:51,-34.7333,135.8667,48.47,76,32,12.86,scattered clouds
146,Praia,CV,2021-08-26 22:24:51,14.9215,-23.5087,79.34,89,75,10.36,broken clouds
147,San Gabriel,US,2021-08-26 22:24:51,34.0961,-118.1058,108.93,21,1,9.22,clear sky
148,Ossora,RU,2021-08-26 22:24:52,59.2353,163.0719,58.01,84,100,8.1,overcast clouds
149,Centralia,US,2021-08-26 22:23:32,46.7162,-122.9543,72.28,70,90,4.61,overcast clouds
150,Taybad,IR,2021-08-26 22:24:53,34.74,60.7756,76.53,22,0,13.0,clear sky
151,Prainha,BR,2021-08-26 22:24:53,-1.8,-53.48,82.29,63,41,4.12,scattered clouds
152,Mahebourg,MU,2021-08-26 22:24:53,-20.4081,57.7,66.49,94,75,3.44,broken clouds
153,Santiago,CL,2021-08-26 22:24:54,-33.4569,-70.6483,60.24,41,0,5.75,clear sky
154,San Cristobal,VE,2021-08-26 22:24:54,7.7669,-72.225,77.18,70,88,4.88,overcast clouds
155,New Norfolk,AU,2021-08-26 22:24:55,-42.7826,147.0587,45.9,89,100,1.74,overcast clouds
156,Tocopilla,CL,2021-08-26 22:24:55,-22.092,-70.1979,59.63,78,22,4.65,few clouds
157,Vaini,TO,2021-08-26 22:24:56,-21.2,-175.2,68.16,83,75,17.27,broken clouds
158,Petropavlovka,RU,2021-08-26 22:24:56,50.6114,105.3196,47.68,79,99,5.23,overcast clouds
159,Shingu,JP,2021-08-26 22:24:56,33.7333,135.9833,80.91,80,75,4.85,broken clouds
160,Pinsk,BY,2021-08-26 22:24:57,52.1229,26.0951,54.97,80,75,2.21,broken clouds
161,Kortkeros,RU,2021-08-26 22:24:57,61.8106,51.5806,48.2,69,100,4.61,overcast clouds
162,Jining,CN,2021-08-26 22:24:58,35.405,116.5814,63.93,94,100,4.88,overcast clouds
163,Lorengau,PG,2021-08-26 22:24:58,-2.0226,147.2712,81.46,80,75,9.69,broken clouds
164,Abashiri,JP,2021-08-26 22:24:59,44.0213,144.2697,67.15,87,98,4.12,overcast clouds
165,Nkowakowa,ZA,2021-08-26 22:24:59,-23.8878,30.2871,64.45,43,0,1.61,clear sky
166,Nome,US,2021-08-26 22:25:00,64.5011,-165.4064,48.27,61,75,17.27,broken clouds
167,Tangshan,CN,2021-08-26 22:25:00,39.6333,118.1833,63.57,86,3,2.3,light rain
168,Ostrovnoy,RU,2021-08-26 22:25:00,68.0531,39.5131,42.53,76,30,10.65,scattered clouds
169,Tukrah,LY,2021-08-26 22:25:01,32.5341,20.5791,78.84,71,0,4.72,clear sky
170,Goderich,CA,2021-08-26 22:25:01,43.7501,-81.7165,80.2,73,0,11.5,clear sky
171,Rondonopolis,BR,2021-08-26 22:25:01,-16.4708,-54.6356,86.54,29,55,6.98,light rain
172,Rajura,IN,2021-08-26 22:25:02,19.7833,79.3667,76.8,78,99,4.74,overcast clouds
