City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
56,Port Blair,IN,79.61,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
57,Beckley,US,76.44,overcast clouds,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
59,Mafeteng,LS,58.1,few clouds,-29.823,27.2374,Mafeteng police station
60,Faya,SA,69.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
61,Nikolskoye,RU,57.09,overcast clouds,59.7035,30.7861,Tourist House - Sablino
62,Ribeira Grande,PT,70.05,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
63,Lamu,KE,71.82,light rain,-2.2717,40.902,Lamu House
64,Bengkulu,ID,73.9,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
65,Severo-Kurilsk,RU,55.65,overcast clouds,50.6789,156.125,Kak Doma
66,Kidal,ML,92.28,overcast clouds,18.4411,1.4078,
67,Tura,IN,73.6,light rain,25.5198,90.2201,Hotel RIKMAN Continental
68,Prado,BR,73.78,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
71,Jamestown,US,85.32,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
72,Bonthe,SL,77.07,moderate rain,7.5264,-12.505,Bonthe Holiday Village
74,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
75,Thompson,CA,68.16,scattered clouds,55.7435,-97.8558,Burntwood Hotel
76,Tres Lagoas,BR,79.84,overcast clouds,-20.7511,-51.6783,Druds Express Hotel
77,Dhidhdhoo,MV,82.35,overcast clouds,6.8833,73.1,Dhidhoo beach
79,Guangyuan,CN,65.08,broken clouds,32.442,105.823,Guangyuan Poetry Hotel
80,Akyab,MM,80.76,overcast clouds,20.15,92.9,Hotel Memory
82,Port Hedland,AU,57.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
83,Brookhaven,US,85.66,broken clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
84,Kendari,ID,72.99,light rain,-3.945,122.4989,Hotel Wixel
86,Souillac,MU,66.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
87,Goshen,US,87.69,broken clouds,41.5823,-85.8344,"Holiday Inn Express & Suites Goshen, an IHG Hotel"
92,Basco,PH,84.11,broken clouds,20.4487,121.9702,Nathaniel's Lodge
93,Damghan,IR,77.83,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
94,Nemuro,JP,62.47,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
95,Grafton,US,91.62,clear sky,42.207,-71.6856,The Grafton Inn
96,Marienburg,PL,56.88,moderate rain,54.0359,19.0266,Hotel Centrum Malbork
97,Tongliao,CN,58.03,clear sky,43.6125,122.2653,Meirujia Hotel
99,Namibe,AO,60.64,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
100,Kununurra,AU,68.92,scattered clouds,-15.7667,128.7333,Hotel Kununurra
102,Menongue,AO,64.44,broken clouds,-14.6585,17.691,Ritz Lauca
103,Ipixuna,BR,76.95,broken clouds,-1.7625,-48.8043,Casa da Oscarina
104,Fortuna,US,83.43,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
107,East Bethel,US,71.85,broken clouds,45.3194,-93.2025,Norquist Camp Ground
108,Kindu,CD,75.78,few clouds,-2.95,25.95,Résidence Okanda
109,Padang,ID,75.96,broken clouds,-0.9492,100.3543,Mercure Padang
111,Bara,NG,75.11,broken clouds,10.3744,10.7288,
112,Ambilobe,MG,64.51,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
115,Baracatan,PH,72.16,overcast clouds,6.9675,125.4158,Kamp Kalinaw
116,Gamba,GA,74.86,broken clouds,-2.65,10.0,
117,Mana,GF,79.92,scattered clouds,5.6592,-53.7767,LE SAMANA
118,Stonewall,CA,65.98,overcast clouds,50.1344,-97.3268,Rockwood Motor Inn & Motel
119,Mantua,IT,74.44,scattered clouds,45.1667,10.7833,Hotel la Favorita
120,Jiaonan,CN,69.82,moderate rain,35.8786,119.9753,Vienna Hotel Qingdao Huangdao
121,Nara,JP,79.92,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
122,Manokwari,ID,78.91,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
123,Alyangula,AU,60.67,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
125,Mogadishu,SO,76.73,clear sky,2.0371,45.3438,Hotel Juba
126,Saint-Pierre,RE,67.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
127,Saint-Joseph,RE,66.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
129,Beloha,MG,65.82,scattered clouds,-25.1667,45.05,
130,Niono,ML,83.7,overcast clouds,14.2526,-5.992999999999999,Hôtel Campement
131,Kalmunai,LK,79.9,overcast clouds,7.4167,81.8167,VS Villa
132,Bestobe,KZ,67.35,few clouds,52.4994,73.0975,
133,Loreto,MX,76.12,few clouds,22.2667,-101.9667,José de Jesús Velásquez mora
134,Johnstown,US,89.42,fog,40.3267,-78.922,"Holiday Inn Johnstown-Downtown, an IHG Hotel"
136,Kodiak,US,56.71,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
137,Salta,AR,61.39,clear sky,-24.7859,-65.4117,Hotel Alejandro I
138,Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
139,Bambanglipuro,ID,72.97,scattered clouds,-7.95,110.2833,Puri Brata
140,Devils Lake,US,64.94,overcast clouds,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
141,Shieli,KZ,75.18,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
142,The Valley,AI,84.34,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
146,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
148,Ossora,RU,58.01,overcast clouds,59.2353,163.0719,
149,Centralia,US,72.28,overcast clouds,46.7162,-122.9543,Peppermill Inn
150,Taybad,IR,76.53,clear sky,34.74,60.7756,لی پوش jean center
151,Prainha,BR,82.29,scattered clouds,-1.8,-53.48,Casa Rocha
152,Mahebourg,MU,66.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
